"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 09 13:15:02 YEKT 2026","Sat May 09 13:15:04 YEKT 2026","1826","","api.CourierCreateTest","","api.CourierCreateTest","courierCanBeCreated","Создание курьера: успешное создание",""
"passed","Sat May 09 13:15:14 YEKT 2026","Sat May 09 13:15:15 YEKT 2026","888","","api.OrderCreateTest","","api.OrderCreateTest","createOrderWithDifferentColors[Тест с цветом: [BLACK, GREY]]","Создание заказа с разными вариантами цветов",""
"passed","Sat May 09 13:15:12 YEKT 2026","Sat May 09 13:15:13 YEKT 2026","582","","api.OrderCreateTest","","api.OrderCreateTest","createOrderWithDifferentColors[Тест с цветом: [BLACK]]","Создание заказа с разными вариантами цветов",""
"passed","Sat May 09 13:15:15 YEKT 2026","Sat May 09 13:15:33 YEKT 2026","17333","","api.OrderListTest","","api.OrderListTest","getOrderListReturnsOrders","Получение списка всех заказов",""
"passed","Sat May 09 13:15:07 YEKT 2026","Sat May 09 13:15:10 YEKT 2026","3235","","api.CourierLoginTest","","api.CourierLoginTest","loginNonExistentUserFails","Логин курьера: ошибка для несуществующего пользователя",""
"passed","Sat May 09 13:15:10 YEKT 2026","Sat May 09 13:15:12 YEKT 2026","2610","","api.CourierLoginTest","","api.CourierLoginTest","loginWithWrongPasswordFails","Логин курьера: ошибка при неправильном пароле",""
"passed","Sat May 09 13:15:13 YEKT 2026","Sat May 09 13:15:14 YEKT 2026","641","","api.OrderCreateTest","","api.OrderCreateTest","createOrderWithDifferentColors[Тест с цветом: [GREY]]","Создание заказа с разными вариантами цветов",""
"passed","Sat May 09 13:14:34 YEKT 2026","Sat May 09 13:14:57 YEKT 2026","22365","","api.CourierCreateTest","","api.CourierCreateTest","createCourierWithoutPasswordFails","Создание курьера: ошибка если нет пароля",""
"passed","Sat May 09 13:15:06 YEKT 2026","Sat May 09 13:15:07 YEKT 2026","761","","api.CourierLoginTest","","api.CourierLoginTest","loginWithoutFieldFails","Логин курьера: ошибка при отсутствии логина",""
"passed","Sat May 09 13:14:58 YEKT 2026","Sat May 09 13:15:02 YEKT 2026","3197","","api.CourierCreateTest","","api.CourierCreateTest","cannotCreateTwoIdenticalCouriers","Создание курьера: нельзя создать двух одинаковых",""
"passed","Sat May 09 13:15:15 YEKT 2026","Sat May 09 13:15:15 YEKT 2026","841","","api.OrderCreateTest","","api.OrderCreateTest","createOrderWithDifferentColors[Тест с цветом: []]","Создание заказа с разными вариантами цветов",""
"passed","Sat May 09 13:14:57 YEKT 2026","Sat May 09 13:14:58 YEKT 2026","1403","","api.CourierCreateTest","","api.CourierCreateTest","createCourierWithoutLoginFails","Создание курьера: ошибка если нет логина",""
"passed","Sat May 09 13:15:04 YEKT 2026","Sat May 09 13:15:06 YEKT 2026","2171","","api.CourierLoginTest","","api.CourierLoginTest","courierCanLogin","Логин курьера: успех возвращает id",""
